RESTAURANT NAME,LOCATION,CUISINE,COST
The Oberoi Cecil,EAST,Greek,CHEAP
The Lalit Grand Palace,WEST,Southern_US,MEDIUM
Hotel Fateh Prakash Palace,NORTH,Filipino,EXPENSIVE
Shiv Niwas Palace,SOUTH,Indian,CHEAP
Savoy Hotel,EAST,Jamaican,MEDIUM
Raheem Residency,WEST,Spanish,EXPENSIVE
Noor Us Sabah Palace,NORTH,Italian,CHEAP
The Panjim Inn,SOUTH,Mexican,MEDIUM
Balaram Palace Resort,EAST,Chinese,EXPENSIVE
Nilambag Palace Hotel,WEST,British,CHEAP
The Fort Ramgarh,NORTH,Thai,MEDIUM
The Judges Court,SOUTH,Vietnamese,EXPENSIVE
The Palace,EAST,Cajun_creole,CHEAP
The Castle Naggar,WEST,Brazilian,MEDIUM
Hotel Cherthala House,NORTH,French,EXPENSIVE
Heritaga Methanam,SOUTH,Japanese,CHEAP
Old Lighthouse Bristow Hotel,EAST,Irish,MEDIUM
Hotel Le Colonial,WEST,Korean,EXPENSIVE
Kunnathur Mana Ayurveda Heritage,NORTH,Moroccan,EXPENSIVE
Old Harbour Hotel,SOUTH,Russian,CHEAP
Coconut Lagoon,EAST,Greek,MEDIUM
Beach Hotel,WEST,Southern_US,EXPENSIVE
Palakkad Heritage Hotels,NORTH,Filipino,CHEAP
Somatheeram Ayurvedic Beach Resort (P) Ltd.,SOUTH,Indian,MEDIUM
The Hillway Heritage,EAST,Jamaican,EXPENSIVE
Ahilya Fort,WEST,Spanish,CHEAP
Hotel Rock End Manor,NORTH,Italian,MEDIUM
Satpura Retreat,SOUTH,Mexican,EXPENSIVE
Hotel Sheesh Mahal,EAST,Chinese,CHEAP
Jehan Numa Palace Hotel,WEST,British,MEDIUM
LE DUPLEIX,NORTH,Thai,EXPENSIVE
"Welcome Heritage, Khimsar Fort",SOUTH,Vietnamese,CHEAP
The Bagh,EAST,Cajun_creole,MEDIUM
Gajner Palace,WEST,Brazilian,EXPENSIVE
The Laxmi Niwas Palace,NORTH,French,CHEAP
Chomu Palace,SOUTH,Japanese,MEDIUM
Bissau Palace,EAST,Irish,EXPENSIVE
Deogarh Resorts,WEST,Korean,CHEAP
Shikarbadi Hotel,NORTH,Moroccan,MEDIUM
Welcom Heritage - Koolwal Kothi,SOUTH,Russian,EXPENSIVE
Ajit Bhawan,EAST,Greek,EXPENSIVE
Hotel Samode Palace,WEST,Southern_US,CHEAP
Raj Niwas Palace,NORTH,Filipino,MEDIUM
Hotel Castle Mandawa Pvt.Ltd.,SOUTH,Indian,EXPENSIVE
Rohet Garh,EAST,Jamaican,CHEAP
Lake Pichola Hotel,WEST,Spanish,MEDIUM
The Ramgarh Lodge,NORTH,Italian,EXPENSIVE
Hotel Indra Villas,SOUTH,Mexican,CHEAP
Singhasan Haveli,EAST,Chinese,MEDIUM
Fort Khejarla,WEST,British,EXPENSIVE
